"X1" "X2" "X3" "X4" "X5" "X6"
32.5 24.6 -51.7 -25.4 5.6 14.3
28.5 1.1 -63.6 -52.4 11.6 1
62.9 31.1 -22.2 -21.1 33.1 39.7
129.5 113 92.4 91.3 100.8 109.4
117.9 104 65.6 81 97.1 88.9
75.2 56 25.6 33.4 45.5 54.3
3.7 -1.8 -65.3 -59.3 -46.3 -28.8
-25.8 -13.1 -63.3 -33.3 -36.6 -12
-47.4 -36.4 -131 -67.2 -88.7 -50
16 16.3 -20.5 -10.4 -26 -12
18.8 3.4 -45.2 -28.6 -35.5 -19.7
-64.1 -82.8 -155.4 -146.7 -57.6 -68
49.4 19.7 -16.7 -5.3 21.5 25.3
43.3 13.6 -40.1 -31.6 16.9 21.6
135.6 119.8 86.3 96.4 110.7 120.6
156.1 140.2 100.1 117 113.3 124.4
128.3 117.4 67.4 73.9 50.4 89.8
51 12.6 0.4 6.2 23.7 21.5
-12.8 -35.5 -48.2 -40 -14.2 -4.1
-40.5 -57 -107.1 -105 -72.7 -62.6
11.4 9.6 4.8 7.3 0.9 5.4
1.6 -6.4 -12.8 -19 0.1 -4.1
-33.9 -52.4 -33.4 -49.1 5.6 4.9
-44.9 -64.2 -123.1 -108.5 -33 -35.1
25.4 0.1 -47.1 -35.2 2 0.6
60.8 27.3 -32.1 -20.8 11.6 9.8
21.6 -1.1 -63 -56.5 4.1 -15.3
43.8 -14.2 -85.8 -73.1 11.7 3
83.1 61.8 -10.6 6.8 24.8 40.2
-28.6 -64 -56.9 -46.8 -1 10
34 28.1 -5.9 4.1 -5.5 8.6
-29.8 -46 -47 -51.5 -18 -19.9
-132 -155.1 -218.1 -210 -106 -116.9
-5.5 -6.5 -15.3 -29.3 -18 -25.6
15.3 5.3 -20.3 -16.7 -5 -1.2
-8.1 -22.4 -60.3 -60.7 5.9 0.7
52.3 27.5 7.4 5.7 59.1 50.1
30.6 14.4 -27.3 -0.6 30.6 46.8
32.2 9 -28.1 -22.5 33.4 29
155.6 139.7 97.4 94.1 127.1 118.1
127.7 112.4 100.5 99.2 130.6 131.3
-4.9 -34.2 -80.8 -89.2 -29.9 -38.2
-7.5 0.9 -54 -23.2 -44.6 -2.1
-36.7 -49 -88.6 -89.8 -62.8 -62.3
-93.4 -91.6 -151.2 -111.7 -80 -89
9.1 8.1 -1.5 -3.6 -4.8 -0.6
35.9 23 3.9 3.2 12.9 12.6
20.6 9.4 -78.3 -36.4 -25.2 -10.5
-47.5 -77.6 -149 -120.1 -47.8 -61.6
76.1 57.1 -6.3 30.3 64.4 61.7
108.6 80.3 37.9 49.9 87.6 92.5
166.2 141.2 103.3 118.7 128.5 129.3
98.2 64.3 6.2 17.7 46.3 45.3
68.9 51.8 18.8 39.9 43.8 53.9
42.9 31.1 5.6 9.6 17.7 26.5
-106.1 -115.1 -200.5 -179.2 -123.3 -139.4
-22.8 -16.2 -126 -71.8 -95.2 -64.3
5.2 6 -30.8 -9.7 -28.6 -26.6
22.7 17.6 -34 -14.9 -17.8 -5
-18.6 -53.3 -95.1 -91.3 -19.2 -37
80 60.6 9.3 24.8 44.6 42.7
-58.9 -80.1 -156.5 -130.1 -33.2 -23.7
128.1 113.2 55.1 87.9 89 105.7
153 129.4 73.5 87.2 114 109
68.9 36.2 9 5.7 53.5 45
52.7 20.8 11.4 1.7 38.2 23.5
37.3 20.5 -18.9 -1.3 -18.1 -2.6
-14.2 -20.5 -97.9 -51.5 -60.7 -53.3
-32.9 -38.4 -127.9 -89.3 -110.3 -85.7
-28.9 -27.1 -119.4 -59.1 -80.4 -60.7
-43 -36.2 -94.8 -49.6 -54.7 -32.5
-71.7 -80.2 -155.8 -115.8 -57.8 -61.4
18.8 -10.9 -86.1 -78.7 -17.4 -27.6
-95.7 -122 -160.9 -106.5 -22.4 -39
62.9 39.4 10.5 10.3 49.2 50.2
125.2 96.8 42.7 69.4 78.2 87.3
101.4 66.8 61.2 46.4 90.8 86.1
-27.5 -59 -83.4 -92.6 -18.9 -35.6
-8.8 -10.6 -68.6 -23 -28.6 -25.7
-125.4 -122.8 -92.2 -116.6 -41.1 -59.2
9.4 10.9 -8.7 -3.8 -4 -3.5
-26.1 -32.9 -75.5 -52.5 -53.3 -45.6
27.6 24.8 -46.2 -25.6 -22.8 -9.1
-14.3 -28.4 -97.4 -68.2 -48.3 -32.7
53.6 33.5 -52.7 -3.7 0.3 3.6
60.9 45.2 -5.9 6.2 48 48.2
81.1 54.8 -3.5 -6.4 59.1 50.9
159 136.6 93.8 112.1 123.6 124.8
115.7 73.8 62.6 42.7 91.2 82.6
51.8 40.6 14.2 23.3 40.6 34.3
-45.6 -63.6 -113.7 -90.8 -54.7 -42.4
-18.1 -3.3 -47.8 -18 -21.3 -9.5
5.2 1.4 -41.7 -22.3 -50.3 -33.7
6.2 20.2 -25.8 3.6 -24.3 -19.6
28.6 26.8 1.1 9.2 10 4.2
40.4 35.2 12.1 15.4 48.9 46.2
32.6 12.6 14.2 11 54.5 46.7
-3.2 -8.9 -92.1 -63.1 -27.9 -34.8
107.6 86.9 53 66.3 95.6 95.7
148.3 131.3 87.5 100 110.6 102.8
64.1 24.6 -12 -26.8 43.3 30
-30.9 -35.8 -104.4 -69.4 -38.3 -40.4
-28.9 -23.4 -68.8 -37.2 -38.6 -19.9
-13.5 -5.5 -50.9 -17.8 -39.7 -21.7
-56.4 -64.1 -101.1 -84.5 -78.6 -61.3
-39.2 -37.4 -101.2 -77.1 -65.4 -59.1
-7.1 -4.2 -53.6 -30 -19.1 -10.6
-20.3 -32.4 -86.1 -69.3 -38.5 -19.8
19.2 4 -45.7 -24.7 28.3 28.2
55.4 36.8 -2.7 -5.7 40.6 32.9
40.8 28.6 -14.8 -19.2 38.6 39
139.7 128.6 75.9 93.8 99.9 102
52.8 11.4 9 -11 41.5 35.5
7.5 -8 -26.5 -36.1 7.5 2.8
12.8 21.1 -23.7 7.2 -5.9 -0.7
-52.1 -42.3 -91.5 -60.9 -49 -41.3
-52.7 -62.3 -110.6 -106.3 -96 -97.2
-29.2 -22.4 -53 -39.3 -34.9 -36.6
-1.9 2 -64 -30.6 -23 -15.1
30.4 22.6 -19.6 0.9 18.9 18.4
28 44.5 -45.3 10.8 7 12.1
48.9 49.2 -68.3 -26.8 5.4 -3.7
21.2 10.2 -79.4 -57.2 5.9 -2.2
111.7 73.5 36.7 63.6 78.5 80.5
78.4 68.9 20.6 37 62 57
64.7 32 10 0.9 37.5 32.1
-58 -41.4 -94.5 -65.7 -59.2 -56.3
-14.2 11.1 -60.9 -13.5 -45.2 -36.2
19.9 18.3 -12.7 -13.3 -28.5 -16.5
-121.2 -138.8 -194.6 -174.5 -124.1 -128.5
-8.4 -17 -88.3 -59.5 -51.7 -36.2
44.1 34.5 3.5 14.6 20.4 34.8
17.4 -0.6 -26.2 -16 32.3 24.4
49.7 23.8 -38.3 -36.8 1.8 -0.5
90 68.3 28.7 37.4 60.2 57.1
126.4 93 53.1 64.9 92.3 97
38.1 4 -25 -24.2 20.3 18.5
10.4 -11.6 -23.1 -16.3 4.2 2.2
45.7 33.1 16.6 7.9 26.9 19
-23.8 -34 -73.3 -78.3 -46.2 -65
2.8 10.7 -3.9 -1.2 -5.7 -2.9
5 2.7 -43.1 -18 -45.1 -20
14.7 13.1 -0.2 1.8 -2.2 -5.9
13.6 -2.3 -30.4 -18 12.5 -13.3
-117.3 -145.5 -168.1 -132.3 -40.6 -71.9
102.3 83.6 56.2 58.8 85.7 86.6
110.3 81.2 38.7 39 79.8 71.2
166.6 147.6 119.3 125.9 121.7 137.6
58.9 24.3 -14.6 -2.4 45 45.1
52.3 7.7 -10.7 -6.4 12.2 31.1
-26.4 -39.8 -74.6 -66.5 -25.7 -23.9
-12.4 9.2 -9.6 -1.5 0.3 4.6
-17.9 -28 -43 -46.9 -29.3 -31.1
-6.5 -10.3 -59.1 -40.5 -45.2 -22.5
33.1 23.7 -5.1 3.9 -0.6 13.4
-6.2 -35.2 -51.7 -56.2 1.3 -27.5
58.5 46.8 12.2 26 55.7 53.6
78.5 45.1 12.5 11.7 49.2 52.6
104.5 76 72.8 79.5 106.8 106.9
71.8 7.7 -10 -24.1 61.6 34.6
74.4 44.8 7 8.9 64.7 50.2
14.6 7.4 -35.4 -8.6 -5.3 21.7
-20.8 -48.2 -68.1 -80.4 -34.6 -46.5
-8.7 -17.6 -45.8 -58.4 -45.5 -39.5
-97.3 -117.9 -105.4 -128.4 -69.8 -87.5
29.7 29.6 23.1 18.3 15.3 13.2
-42.8 -81.1 -67.9 -103.8 -22.9 -67.1
62.9 50.7 40.2 34.3 50.2 47.5
66.1 22.5 -14.1 -25.6 41.3 13.2
16.5 -18.6 -61.6 -50.8 27.5 9.1
94.4 61.3 -1.1 19.8 60.5 63
159.9 135.7 101.8 100 116 114.5
64.6 -6.8 9.9 -9.5 49.4 48.2
30.2 8.4 -40.6 -33.2 5.2 -3.2
34.4 36.1 -3.6 17.2 -8.2 17.1
3.6 -2.1 -17.8 -27 -16.9 -13.8
-20.3 -33.5 -71.7 -67.6 -58.6 -53.9
-60.5 -76.2 -91.1 -92.4 -80.2 -67.6
45.3 40 30.7 30.3 36.5 36.8
24.4 14.7 -23.6 -13.5 19 16.7
100.3 83 55.6 62.1 82.7 83.2
72.4 57.1 11 25.4 60.9 60.7
113.2 98.5 67.6 84.5 112.3 108.8
142.6 115.3 80.1 91.8 114.6 119.3
61.7 25.1 -17.6 -2.5 43.3 48.9
65 43.6 28.7 26.4 49.6 52.3
52.5 43.9 28 29.8 35.8 29.6
-90.4 -25.9 -79.6 -42.9 -18.5 -26.8
-74 -85.9 -165.9 -141.2 -109.5 -100.3
-46.4 -67.2 -56.2 -80.8 -37.3 -59.3
41.5 38.5 23.6 27.5 26.4 32.3
27.4 22.4 6.6 14.8 32.9 30.4
-69.5 -90.1 -136.2 -97.6 -23.4 -36.8
